"field:1","field:2","field:3","field:4","field:5","field:6","field:7","field:8","field:9","Output:field:9"
2.0,1.0,1.0,1.0,70.0,3.0,0.0,1.0,-1.0,-1
6.0,1.0,3.0,1.5,55.0,1.0,3.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,71.0,0.0,1.0,3.0,1.0,-0.0921656751
0.0,0.0,0.0,1.5,48.0,0.0,2.0,2.0,1.0,1
1.0,1.0,1.0,1.5,71.0,2.0,1.0,2.0,-1.0,-1
3.0,1.0,1.0,1.5,68.0,4.0,1.0,1.0,-1.0,-1
3.0,1.0,1.0,1.5,56.0,1.0,3.0,1.0,-1.0,-0.9999999245
0.0,0.0,0.0,1.5,69.0,0.0,3.0,2.0,-1.0,0.2543491597
1.0,0.0,0.0,1.5,58.0,1.0,1.0,3.0,1.0,1
1.0,1.0,0.0,1.5,73.0,3.0,0.0,2.0,-1.0,-0.9999999861
4.0,0.0,0.0,1.0,58.0,0.0,0.0,2.0,1.0,0.9996160187
0.0,0.0,0.0,1.5,73.0,3.0,0.0,3.0,-1.0,0.99652124
1.0,1.0,0.0,1.5,66.0,0.0,0.0,2.0,-1.0,-1
3.0,1.0,1.0,1.5,67.0,3.0,1.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,64.0,2.0,2.0,2.0,1.0,0.9998778113
2.0,0.0,0.0,1.5,64.0,3.0,2.0,2.0,-1.0,-0.9561883984
2.0,1.0,0.0,1.0,70.0,3.0,0.0,1.0,-1.0,-0.7997486317
3.0,1.0,1.0,1.5,68.0,4.0,0.0,1.0,-1.0,-1
4.0,1.0,0.0,1.0,66.0,2.0,0.0,1.0,-1.0,-0.9999999845
2.0,1.0,0.0,1.5,60.0,1.0,2.0,1.0,1.0,-0.9999883077
0.0,0.0,0.0,1.5,67.0,1.0,0.0,3.0,1.0,0.9680502546
0.0,0.0,0.0,1.5,55.0,3.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,60.0,2.0,0.0,2.0,1.0,0.9999862438
0.0,0.0,0.0,4.0,70.0,1.0,0.0,1.0,-1.0,-0.8801255825
1.0,1.0,0.0,1.5,74.0,1.0,0.0,2.0,-1.0,-0.9999879768
2.0,1.0,0.0,1.5,68.0,5.0,0.0,1.0,-1.0,-0.9985589415
1.0,1.0,0.0,1.5,74.0,1.0,1.0,2.0,-1.0,-0.9999999875
0.0,0.0,0.0,1.0,66.0,0.0,0.0,2.0,-1.0,0.2865163054
2.0,2.0,0.0,4.0,72.0,1.0,0.0,2.0,-1.0,-1
0.0,0.0,0.0,1.5,66.0,3.0,0.0,3.0,1.0,0.9999847533
0.0,0.0,0.0,1.5,67.0,1.0,0.0,3.0,1.0,0.9680502546
3.0,0.0,0.0,1.5,52.0,5.0,0.0,2.0,1.0,0.1266748764
1.0,1.0,0.0,4.0,72.0,1.0,0.0,3.0,-1.0,-1
0.0,0.0,0.0,1.5,66.0,1.0,1.0,3.0,1.0,0.9918813065
1.0,1.0,0.0,1.5,74.0,0.0,0.0,2.0,-1.0,-0.9999987158
6.0,1.0,2.0,1.5,63.0,5.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,50.0,1.0,1.0,3.0,1.0,1
3.0,1.0,3.0,1.5,67.0,6.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,53.0,1.0,3.0,2.0,1.0,1
4.0,1.0,1.0,1.5,64.0,3.0,0.0,1.0,-1.0,-1
1.0,1.0,1.0,1.5,71.0,0.0,3.0,1.0,-1.0,-0.9999999999
0.0,0.0,0.0,1.5,72.0,3.0,0.0,2.0,1.0,0.9999982871
4.0,1.0,0.0,1.5,68.0,2.0,2.0,1.0,-1.0,-0.9999992837
2.0,1.0,0.0,1.5,68.0,2.0,2.0,1.0,-1.0,-0.9993086505
0.0,0.0,0.0,1.5,67.0,2.0,0.0,3.0,1.0,0.8584687097
1.0,1.0,0.0,1.5,65.0,1.0,1.0,2.0,-1.0,-1
2.0,0.0,0.0,1.0,54.0,0.0,2.0,2.0,1.0,0.9999999998
0.0,0.0,0.0,1.0,62.0,0.0,0.0,2.0,1.0,0.9999999082
4.0,0.0,0.0,1.5,44.0,2.0,0.0,2.0,1.0,1
2.0,1.0,0.0,1.5,72.0,2.0,2.0,1.0,-1.0,-0.9650575718
1.0,1.0,1.0,1.5,71.0,4.0,0.0,1.0,-1.0,-1
1.0,1.0,0.0,4.0,72.0,0.0,1.0,3.0,-1.0,-0.9999999971
2.0,1.0,0.0,1.0,70.0,2.0,2.0,1.0,-1.0,-0.9999998748
3.0,1.0,0.0,1.5,67.0,4.0,0.0,1.0,-1.0,-0.9915529853
0.0,0.0,0.0,1.5,69.0,1.0,2.0,3.0,1.0,0.998378522
0.0,0.0,0.0,1.5,56.0,3.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.0,46.0,2.0,0.0,2.0,1.0,1
2.0,0.0,0.0,1.5,62.0,1.0,0.0,3.0,-1.0,1
0.0,0.0,0.0,1.5,71.0,1.0,0.0,3.0,1.0,-0.0148384279
3.0,1.0,1.0,1.5,68.0,0.0,3.0,1.0,-1.0,-1
1.0,1.0,0.0,1.5,72.0,0.0,3.0,1.0,-1.0,-0.8944897721
1.0,1.0,0.0,1.5,66.0,1.0,0.0,2.0,-1.0,-1
2.0,1.0,0.0,1.0,70.0,1.0,2.0,1.0,-1.0,-0.9999993309
0.0,0.0,3.0,4.0,70.0,7.0,0.0,1.0,-1.0,-0.9727643372
4.0,1.0,0.0,1.0,54.0,0.0,2.0,1.0,-1.0,-0.9999999992
0.0,0.0,0.0,4.0,62.0,0.0,4.0,1.0,1.0,0.8325567361
1.0,1.0,0.0,4.0,64.0,1.0,0.0,3.0,-1.0,-1
0.0,0.0,0.0,1.5,56.0,1.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,55.0,2.0,0.0,2.0,1.0,1
1.0,1.0,0.0,1.5,73.0,1.0,1.0,2.0,-1.0,-0.9999999981
0.0,0.0,1.0,4.0,70.0,5.0,0.0,1.0,-1.0,-0.5779106256
1.0,1.0,0.0,4.0,72.0,1.0,0.0,3.0,-1.0,-1
0.0,0.0,0.0,1.5,71.0,3.0,0.0,2.0,1.0,0.9999923332
1.0,1.0,0.0,1.5,73.0,4.0,0.0,2.0,-1.0,-0.9999999995
1.0,1.0,0.0,1.5,69.0,2.0,1.0,2.0,-1.0,-0.9999999999
2.0,1.0,0.0,1.5,55.0,3.0,1.0,1.0,-1.0,-0.9999999981
0.0,0.0,0.0,1.0,62.0,0.0,2.0,2.0,1.0,0.9999999571
3.0,1.0,0.0,1.5,68.0,0.0,3.0,1.0,-1.0,-0.9999999814
0.0,0.0,0.0,1.5,68.0,3.0,0.0,2.0,-1.0,0.9949948052
1.0,1.0,0.0,1.5,71.0,1.0,1.0,1.0,-1.0,0.8406426333
0.0,0.0,0.0,1.0,66.0,0.0,2.0,2.0,1.0,0.993259596
0.0,0.0,1.0,1.0,74.0,1.0,2.0,2.0,-1.0,-0.9427823643
1.0,1.0,0.0,1.5,66.0,2.0,0.0,2.0,-1.0,-1
3.0,1.0,0.0,1.5,69.0,1.0,3.0,1.0,-1.0,-0.9999991055
0.0,0.0,0.0,1.5,65.0,1.0,0.0,2.0,1.0,0.9784912822
0.0,0.0,0.0,1.5,48.0,1.0,0.0,2.0,1.0,1
2.0,1.0,0.0,1.0,70.0,1.0,0.0,1.0,-1.0,-0.9994539792
0.0,0.0,0.0,1.0,58.0,0.0,0.0,2.0,1.0,1
1.0,1.0,0.0,4.0,72.0,1.0,0.0,3.0,-1.0,-1
0.0,0.0,0.0,1.0,54.0,2.0,0.0,2.0,1.0,1
2.0,1.0,0.0,1.0,70.0,0.0,0.0,1.0,-1.0,-0.9991475356
1.0,0.0,0.0,1.5,63.0,4.0,0.0,2.0,-1.0,0.9973015122
2.0,1.0,0.0,1.5,69.0,4.0,0.0,2.0,-1.0,-0.9999999937
2.0,1.0,0.0,1.5,66.0,1.0,1.0,2.0,-1.0,-1
0.0,0.0,0.0,1.5,48.0,4.0,0.0,2.0,1.0,1
1.0,1.0,0.0,1.5,53.0,3.0,0.0,2.0,-1.0,-0.999996955
6.0,1.0,0.0,1.0,62.0,2.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,63.0,1.0,0.0,3.0,1.0,1
3.0,1.0,1.0,1.5,68.0,1.0,3.0,1.0,-1.0,-1
2.0,1.0,2.0,1.0,70.0,2.0,2.0,1.0,-1.0,-1
0.0,0.0,1.0,1.5,72.0,3.0,0.0,2.0,1.0,-0.9541302852
0.0,0.0,0.0,1.0,66.0,1.0,0.0,2.0,1.0,0.4739807305
0.0,0.0,0.0,1.5,56.0,0.0,3.0,2.0,1.0,1
3.0,1.0,0.0,1.5,68.0,1.0,3.0,1.0,-1.0,-0.9999999607
1.0,1.0,1.0,1.5,71.0,2.0,0.0,1.0,-1.0,-1
0.0,0.0,1.0,4.0,70.0,0.0,4.0,1.0,-1.0,-0.9997334511
0.0,0.0,0.0,1.0,58.0,1.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.0,66.0,0.0,0.0,2.0,1.0,0.2865163054
2.0,1.0,0.0,1.5,68.0,5.0,0.0,1.0,-1.0,-0.9985589415
0.0,0.0,1.0,1.5,72.0,0.0,3.0,2.0,-1.0,-0.924354963
2.0,1.0,0.0,1.5,71.0,1.0,2.0,2.0,-1.0,-0.999999997
1.0,1.0,1.0,1.5,71.0,2.0,1.0,1.0,-1.0,-1
0.0,0.0,2.0,4.0,70.0,6.0,0.0,1.0,-1.0,-0.937935068
1.0,1.0,0.0,1.5,74.0,1.0,0.0,2.0,-1.0,-0.9999879768
0.0,0.0,0.0,4.0,58.0,3.0,0.0,1.0,1.0,-0.4340744783
0.0,0.0,0.0,1.5,64.0,3.0,0.0,2.0,1.0,0.7575316345
1.0,1.0,0.0,4.0,68.0,0.0,1.0,3.0,-1.0,-0.9999999939
2.0,1.0,1.0,1.5,68.0,3.0,0.0,1.0,-1.0,-1
0.0,0.0,2.0,4.0,70.0,0.0,4.0,1.0,-1.0,-0.995989931
0.0,0.0,1.0,1.5,73.0,2.0,0.0,3.0,1.0,0.6859804607
2.0,1.0,0.0,1.0,66.0,3.0,0.0,1.0,-1.0,-0.9997097549
0.0,0.0,0.0,4.0,66.0,0.0,4.0,1.0,1.0,0.8590545704
0.0,0.0,2.0,4.0,70.0,0.0,4.0,1.0,-1.0,-0.995989931
3.0,1.0,1.0,1.5,68.0,0.0,3.0,1.0,-1.0,-1
0.0,0.0,2.0,1.5,72.0,1.0,3.0,2.0,-1.0,-1
0.0,0.0,0.0,1.5,60.0,2.0,0.0,2.0,1.0,0.9999862438
0.0,0.0,2.0,1.5,71.0,1.0,3.0,2.0,-1.0,-0.9999999997
2.0,1.0,1.0,1.5,69.0,1.0,2.0,2.0,-1.0,-1
2.0,1.0,1.0,1.5,69.0,1.0,2.0,2.0,-1.0,-1
4.0,1.0,1.0,1.5,63.0,1.0,3.0,1.0,-1.0,-1
1.0,1.0,0.0,1.5,74.0,2.0,0.0,2.0,-1.0,-0.9999978761
2.0,1.0,0.0,1.5,68.0,4.0,0.0,1.0,-1.0,-0.9689588932
4.0,0.0,0.0,1.5,52.0,1.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,65.0,0.0,0.0,2.0,1.0,0.9692924196
0.0,0.0,0.0,1.5,71.0,1.0,2.0,3.0,1.0,0.9934358859
6.0,1.0,1.0,1.5,60.0,0.0,3.0,1.0,-1.0,-1
0.0,0.0,0.0,4.0,58.0,0.0,4.0,1.0,1.0,0.926894282
0.0,0.0,0.0,1.5,57.0,0.0,3.0,2.0,1.0,1
0.0,0.0,0.0,1.5,40.0,1.0,0.0,2.0,1.0,1
2.0,1.0,1.0,1.5,71.0,3.0,0.0,2.0,-1.0,-1
0.0,0.0,0.0,4.0,54.0,0.0,4.0,1.0,1.0,0.9966219338
2.0,0.0,0.0,1.5,56.0,4.0,0.0,2.0,1.0,0.9999999095
2.0,1.0,1.0,1.5,65.0,3.0,0.0,2.0,-1.0,-1
0.0,0.0,0.0,1.5,43.0,1.0,0.0,3.0,1.0,1
1.0,1.0,0.0,1.5,73.0,2.0,0.0,2.0,-1.0,-0.999999727
2.0,0.0,0.0,1.5,36.0,0.0,2.0,2.0,1.0,1
8.0,1.0,0.0,1.0,58.0,2.0,2.0,1.0,-1.0,-1
16.0,0.0,1.0,4.0,50.0,0.0,4.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,63.0,0.0,1.0,3.0,1.0,1
0.0,0.0,0.0,4.0,62.0,0.0,4.0,1.0,1.0,0.8325567361
0.0,0.0,0.0,4.0,62.0,0.0,4.0,1.0,1.0,0.8325567361
6.0,1.0,2.0,1.5,60.0,2.0,2.0,1.0,-1.0,-1
0.0,0.0,0.0,4.0,66.0,4.0,0.0,1.0,1.0,0.6361925027
0.0,0.0,0.0,1.0,62.0,0.0,2.0,2.0,1.0,0.9999999571
3.0,1.0,0.0,1.5,67.0,0.0,2.0,2.0,-1.0,-1
2.0,1.0,0.0,1.5,68.0,2.0,2.0,1.0,-1.0,-0.9993086505
2.0,1.0,0.0,1.5,69.0,3.0,1.0,2.0,-1.0,-0.9999999714
6.0,2.0,1.0,1.5,65.0,4.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,49.0,0.0,3.0,2.0,1.0,1
1.0,1.0,1.0,1.5,71.0,4.0,0.0,1.0,-1.0,-1
4.0,1.0,2.0,1.5,64.0,5.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,59.0,2.0,0.0,2.0,1.0,0.9999988025
4.0,1.0,0.0,1.0,62.0,0.0,2.0,1.0,-1.0,-1
1.0,1.0,0.0,1.5,74.0,1.0,1.0,2.0,-1.0,-0.9999999875
0.0,0.0,0.0,1.0,30.0,0.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,72.0,2.0,0.0,2.0,1.0,0.9993567534
0.0,0.0,0.0,1.5,39.0,5.0,0.0,2.0,1.0,1
0.0,0.0,1.0,4.0,70.0,4.0,0.0,1.0,-1.0,0.0831847867
6.0,1.0,1.0,1.5,65.0,4.0,0.0,1.0,-1.0,-1
8.0,1.0,0.0,1.5,60.0,1.0,2.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,63.0,1.0,0.0,3.0,1.0,1
0.0,0.0,0.0,1.5,61.0,2.0,0.0,3.0,1.0,1
0.0,0.0,1.0,4.0,70.0,6.0,0.0,1.0,-1.0,-0.7465697475
0.0,0.0,0.0,1.0,74.0,3.0,0.0,2.0,1.0,0.9958984896
2.0,0.0,0.0,1.0,50.0,1.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,72.0,1.0,0.0,2.0,1.0,0.8368789956
1.0,1.0,0.0,1.5,63.0,3.0,0.0,1.0,-1.0,-0.9999999825
2.0,2.0,1.0,1.5,73.0,1.0,2.0,1.0,-1.0,-1
3.0,1.0,0.0,1.5,63.0,1.0,0.0,2.0,-1.0,-1
10.0,1.0,1.0,1.5,52.0,2.0,2.0,1.0,-1.0,-1
1.0,1.0,0.0,1.5,73.0,3.0,0.0,2.0,-1.0,-0.9999999861
2.0,1.0,1.0,1.5,68.0,4.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,48.0,0.0,2.0,2.0,1.0,1
0.0,0.0,0.0,1.0,66.0,2.0,0.0,2.0,1.0,0.6991727158
2.0,1.0,0.0,1.0,70.0,1.0,2.0,1.0,-1.0,-0.9999993309
0.0,0.0,0.0,1.5,74.0,1.0,0.0,3.0,1.0,0.9426001595
1.0,1.0,0.0,4.0,72.0,1.0,1.0,3.0,-1.0,-1
4.0,1.0,0.0,1.5,64.0,1.0,2.0,1.0,-1.0,-0.999999992
2.0,1.0,0.0,1.5,69.0,4.0,0.0,2.0,-1.0,-0.9999999937
0.0,0.0,0.0,1.5,65.0,2.0,0.0,2.0,1.0,0.9358405562
3.0,1.0,1.0,1.5,69.0,4.0,0.0,1.0,-1.0,-1
0.0,0.0,0.0,1.5,60.0,1.0,0.0,2.0,1.0,0.9999989732
0.0,0.0,0.0,1.0,58.0,0.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,65.0,1.0,1.0,2.0,1.0,0.9999876293
0.0,0.0,0.0,1.5,60.0,2.0,0.0,2.0,1.0,0.9999862438
3.0,1.0,0.0,1.5,68.0,3.0,0.0,1.0,-1.0,-0.9828849252
0.0,0.0,0.0,1.5,60.0,1.0,0.0,2.0,1.0,0.9999989732
1.0,1.0,1.0,1.5,71.0,4.0,0.0,1.0,-1.0,-1
2.0,1.0,0.0,1.5,60.0,2.0,2.0,1.0,-1.0,-0.9999999973
0.0,0.0,0.0,1.5,72.0,4.0,0.0,2.0,1.0,0.9999958398
4.0,1.0,0.0,1.0,58.0,2.0,0.0,1.0,-1.0,-0.9999999945
0.0,0.0,0.0,1.0,46.0,0.0,0.0,2.0,1.0,1
12.0,1.0,1.0,1.5,55.0,0.0,3.0,1.0,-1.0,-1
0.0,0.0,0.0,1.0,38.0,0.0,0.0,2.0,1.0,1
0.0,0.0,0.0,1.5,71.0,3.0,0.0,2.0,1.0,0.9999923332
1.0,1.0,1.0,1.5,71.0,2.0,1.0,1.0,-1.0,-1
1.0,1.0,0.0,1.5,64.0,1.0,3.0,1.0,-1.0,-0.9999999958
0.0,0.0,0.0,1.5,65.0,1.0,0.0,3.0,1.0,0.9999641009
0.0,0.0,0.0,4.0,62.0,0.0,4.0,1.0,1.0,0.8325567361
2.0,1.0,1.0,1.5,68.0,3.0,0.0,1.0,-1.0,-1
